,ENTREZID,SYMBOL,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,newPadj
1,2537,IFI6,909.236876922438,5.22270442668769,0.132113047724543,39.5320864717092,0,0,0
2,3433,IFIT2,1390.65389128893,7.56176139780447,0.187623802462998,40.3027830080127,0,0,0
3,3569,IL6,1878.23678165441,3.85082329782012,0.0859138769294149,44.8219011345965,0,0,0
4,3576,CXCL8,2683.23702068722,4.65013525090834,0.0903074666014921,51.4922566860214,0,0,0
5,56829,ZC3HAV1,5413.22047215327,2.77445469474175,0.0700525882511096,39.605313151264,0,0,0
6,9636,ISG15,792.4236689652,4.80855267233748,0.124321409179005,38.6783958136597,0,0,0
7,567,B2M,8194.13197949239,2.26840563628135,0.0634114066044672,35.7728326455629,2.92205836125122e-280,7.74929877403823e-277,5.52882662532343e-276
8,124936,CYB5D2,742.240529833513,4.52147446368622,0.128357742018865,35.2255687313483,8.12082075282225e-272,1.8844364556924e-268,1.53645928643397e-267
9,3437,IFIT3,547.753364285541,4.68271873177409,0.141320505557062,33.1354513155441,9.17641544135187e-241,1.89278862503618e-237,1.73608603734936e-236
10,7128,TNFAIP3,930.917782516983,3.32034748268025,0.102472219966872,32.4024158328342,2.53785935474738e-230,4.71128210615304e-227,4.80112232731109e-226
11,128346,C1orf162,555.23952524157,5.28928000449323,0.167499075453962,31.577965371797,7.41077916730274e-219,1.25067004056189e-215,1.40189709507866e-214
12,3434,IFIT1,516.890658949854,6.47074930139721,0.214031989521341,30.2326269819214,8.82803469892486e-201,1.36569696792368e-197,1.66991104364863e-196
13,23109,DDN,462.019994918921,4.05122908345628,0.135579433946277,29.8808526156083,3.48990875394811e-196,4.9835897006379e-193,6.60116240809285e-192
14,6175,RPLP0,5464.62355191207,1.90324460711881,0.0658956368751657,28.8827105613132,1.96866893954394e-183,2.61045501383527e-180,3.72354043225341e-179
15,388524,RPSAP58,1635.2350762416,2.44889789611817,0.0854980901175976,28.6427204718825,1.97524576313745e-180,2.44456415645891e-177,3.73578231182187e-176
16,64135,IFIH1,456.900169722566,3.84487493754575,0.135016211680431,28.4771353727963,2.24881820291019e-178,2.60919131992655e-175,4.25296498534375e-174
17,388650,DIPK1A,414.760321541168,6.17051179371843,0.218977207339871,28.1787856767269,1.06418459938388e-174,1.1620895825272e-171,2.01247949589486e-170
18,5366,PMAIP1,1467.15409696498,2.24828388570279,0.0809083740280015,27.7880245736329,6.05342101164262e-170,6.24309487000742e-167,1.14470191330162e-165
19,1933,EEF1B2,2286.3266929953,2.0840664083341,0.0751591690541872,27.7287047549921,3.14807492125129e-169,3.07583488621626e-166,5.95269486859406e-165
20,25821,MTO1,834.66878862997,3.25620509035102,0.118151133606721,27.5596601653408,3.38996486793225e-167,3.14656539041471e-164,6.40974557228629e-163
21,84981,MIR22HG,769.705466420411,2.65325547547965,0.0964845520278196,27.4992775497846,1.79090921256334e-166,1.583163743906e-163,3.38607204819351e-162
22,4904,YBX1,8138.64316002703,2.00394220391942,0.0735274494987737,27.2543413049142,1.47618970283172e-163,1.24563571106218e-160,2.79088425217365e-159
23,3921,RPSA,3742.10092641727,2.2176321370751,0.081532715800106,27.1992919077058,6.6213584221091e-163,5.3442999020884e-160,1.25176780969972e-158
24,7178,TPT1,14482.6619175346,1.98038102136559,0.0734654514686179,26.9566303858018,4.76959739912019e-160,3.68928358821946e-157,9.0164469232968e-156
25,10410,IFITM3,1739.67026421403,2.06461152953504,0.0772494211538161,26.7265631081438,2.3127271878385e-157,1.71733870060136e-154,4.37174820317111e-153
26,8851,CDK5R1,344.30442120482,4.41821089987222,0.167983653098705,26.3014336119726,1.84665135933078e-152,1.31850907056218e-149,3.49054039940704e-148
27,4084,MXD1,357.115664524309,4.04575346086686,0.155851817850998,25.958975112724,1.43995525993652e-148,9.90049238720797e-146,2.72165943680601e-144
28,6206,RPS12,3397.0232495779,2.07672796533898,0.0805990492300097,25.7661595909465,2.12459155023998e-146,1.40860419780911e-143,4.01547802995356e-142
29,689,BTF3,8427.40220299046,1.64369314078108,0.0639712843546983,25.6942338638596,1.35587172782886e-145,8.67944922600513e-143,2.56246197842375e-141
30,1839,HBEGF,824.231463802398,2.39403949132537,0.0934960378619688,25.6057855078284,1.3152129115615e-144,8.13853749674256e-142,2.48548936026892e-140
31,51191,HERC5,418.406918302616,3.73202002756025,0.146552939736849,25.4653371966573,4.77466261343787e-143,2.85925279857615e-140,9.02267994061355e-139
32,387882,C12orf75,1518.07696438121,2.00774171953897,0.0798742301621161,25.1362888313787,1.99598849013436e-139,1.1579228228392e-136,3.77161985095789e-135
33,2495,FTH1,6912.25138585704,1.8738008467661,0.0749952577258167,24.9855911371987,8.76857631521869e-138,4.9327227489612e-135,1.65682249476057e-133
34,648987,LOC648987,664.965731080704,3.30860378213187,0.13255121120168,24.960947185143,1.62419626312926e-137,8.86811159668575e-135,3.06875641955642e-133
35,6136,RPL12,5649.01426601949,2.06312193724082,0.0852032679731596,24.214117443133,1.57981809200985e-129,8.37935516002024e-127,2.98475032123421e-125
36,6187,RPS2,9734.42646209721,1.86553892192261,0.0783024232472918,23.8247916802132,1.84876013285821e-125,9.53343975177218e-123,3.49267764299574e-121
37,387496,RASL11A,290.519042304506,6.36727315571008,0.267648991204938,23.7896400320623,4.27527932321071e-125,2.14503473935361e-122,8.07643016947736e-121
38,3386,ICAM4,238.701264563929,5.13775183430876,0.218028148668388,23.5646262452243,8.88914196860332e-123,4.33925539878549e-120,1.67915891786917e-118
39,7087,ICAM5,282.403639713933,4.06345369472519,0.172446522643023,23.5635583278002,9.11608277055775e-123,4.33925539878549e-120,1.72193687453065e-118
40,5837,PYGM,627.880844809685,8.74041929015668,0.376737937340784,23.200263163968,4.52544691976723e-119,2.10025991546397e-116,8.54766414205634e-115
41,113146,AHNAK2,1358.30352057716,-2.09862219425943,0.0910968787066089,-23.0372568638533,1.97402459001321e-117,8.93799816805005e-115,3.72834024315795e-113
42,2778,GNAS,29469.6682785409,1.54949057925482,0.0673680553439576,23.0003756430799,4.62109953610497e-117,2.04252599495839e-114,8.72740858388784e-113
43,26986,PABPC1,19024.58476668,1.5134881772904,0.0658091235925159,22.9981512390558,4.86413393273599e-117,2.09994842621653e-114,9.18591693197192e-113
44,23208,SYT11,319.469397440388,3.36818896909944,0.146913944631087,22.9262714139031,2.54197646576038e-116,1.07248297978126e-113,4.8002683579419e-112
45,467,ATF3,539.507688847378,3.0111726520406,0.132353355525878,22.7510110346379,1.40231633648555e-114,5.78502232678172e-112,2.64799393818566e-110
46,4940,OAS3,1347.68094762208,2.38498514423903,0.105145335364544,22.6827479884883,6.63157415934654e-114,2.67627266726324e-111,1.25217383276781e-109
47,6224,RPS20,3933.21834250447,1.73587988836052,0.0766805779150474,22.6378039336591,1.83983801574198e-113,7.26696870728386e-111,3.47379815752243e-109
48,6156,RPL30,11612.3657901053,1.84101902089691,0.0815261847130007,22.5819352074173,6.52292934975109e-113,2.52274292601623e-110,1.23152906123301e-108
49,4621,MYH3,244.987396450241,6.04169168648755,0.267619723523463,22.5756592486647,7.51802928197625e-113,2.84825909368586e-110,1.4193287481443e-108
50,55845,BRK1,2573.48884078477,1.6802185708849,0.0747329238532338,22.482976501557,6.09150905887285e-112,2.26165548337831e-109,1.14995508013402e-107
51,91181,NUP210L,284.414863889893,6.77965304875729,0.301650972515213,22.4751572727497,7.26458587670244e-112,2.64430925911969e-109,1.37133587594512e-107
52,1982,EIF4G2,14537.2320020446,1.45958326922831,0.064982602424947,22.4611390550892,9.96019003974123e-112,3.55578784418762e-109,1.88008547190155e-107
53,8793,TNFRSF10D,819.40455613464,2.13210769740282,0.0950903246909992,22.4219204670003,2.40578652746814e-111,8.42660775394691e-109,4.54092207059612e-107
54,2512,FTL,11406.0589096794,1.90089663167745,0.084785682125798,22.4200193242187,2.51076330536727e-111,8.63144629645147e-109,4.73881466255018e-107
55,5630,PRPH,218.205769137914,4.31428697790069,0.195097564855895,22.1134845075455,2.34451360786457e-108,7.91337283934507e-106,4.42480053212281e-104
56,4831,NME2,779.504966388417,2.20729058223039,0.100447949687702,21.974471246979,5.05399297298417e-107,1.67539867054425e-104,9.53789553861572e-103
57,23406,COTL1,17825.4834231171,1.69346076340052,0.0784252432896361,21.5933122087529,2.0758904848473e-103,6.76084753696583e-101,3.91741293395534e-99
58,4697,NDUFA4,1713.91880306576,1.83913911312729,0.0854121252815154,21.5325295684372,7.72026222591047e-103,2.471016344169e-100,1.45681348202931e-98
59,1958,EGR1,2295.35622524522,1.5462098972855,0.0718545311552439,21.5186136827596,1.04232558091938e-102,3.27961560748939e-100,1.96676413863678e-98
60,6176,RPLP1,9270.56570857353,1.94692776967148,0.0914186507040595,21.2968333559645,1.21459571552321e-100,3.75795914382883e-98,2.2916991960492e-96
61,6772,STAT1,1175.76077457049,1.97417818709338,0.0929852064631228,21.2310996790261,4.92955035363859e-100,1.50019955352372e-97,9.30058265220992e-96
62,308,ANXA5,4615.26996908454,1.40593624082115,0.0663613997679586,21.1860546302097,1.28417776958031e-99,3.8450767926595e-97,2.42272978009021e-95
63,124751,KRBA2,222.387263106668,6.13530495341763,0.289788912279684,21.1716345706707,1.74402683767764e-99,5.13906574835678e-97,3.29010662927887e-95
64,6227,RPS21,3786.57878372985,1.89888556537972,0.0897137263343508,21.1660538801257,1.96323956214082e-99,5.6946217549347e-97,3.70345511002244e-95
65,304,ANXA2P2,9421.16048964902,1.3972334173486,0.0666688748506206,20.9578070798295,1.59256948843146e-97,4.54837845896025e-95,3.00406382602826e-93
66,6168,RPL37A,5475.42621953785,1.71325610071247,0.0822141798579181,20.8389368314968,1.92056725729456e-96,5.40203190369943e-94,3.622573960709e-92
67,54854,FAM83E,290.144675533346,7.37240311494812,0.35443315451593,20.8005459450232,4.27910754982209e-96,1.18563212768503e-93,8.07082474971944e-92
68,6631,SNRPC,2243.85476122688,1.7085058118985,0.0826783071903605,20.6644991891863,7.23032257170043e-95,1.97387806207422e-92,1.3636388370227e-90
69,6210,RPS15A,2499.3614800403,1.57645847975807,0.0763735657885146,20.6414151739808,1.16598271681292e-94,3.13700045723407e-92,2.19892680563749e-90
70,805,CALM2,3594.90296475031,-1.749277298952,0.0849581665576125,-20.589866399315,3.38300418355317e-94,8.971727094783e-92,6.37966928934457e-90
71,2879,GPX4,9004.66515180075,1.75381003905976,0.085515362813119,20.5087130705678,1.79993944126133e-93,4.70620785740497e-91,3.39414580438649e-89
72,2987,GUK1,1610.75810660034,1.7574747617451,0.0861817047854089,20.3926664727878,1.94264132495277e-92,5.00877688283655e-90,3.66304448233094e-88
73,5042,PABPC3,2848.43453727059,1.54793367931231,0.0761637327009411,20.3237633506004,7.92610328008135e-92,2.01561892180041e-89,1.49446677345934e-87
74,8639,AOC3,182.105718541602,4.53825462106578,0.223673153527939,20.2896706622367,1.58654365576888e-91,3.9800805980667e-89,2.99126940858665e-87
75,10598,AHSA1,2699.73996891747,1.62744679426717,0.0806117844888139,20.1886957916556,1.23070439448408e-90,3.04623951722699e-88,2.32024699492083e-86
76,4487,MSX1,375.335548108156,2.64926060418943,0.131263032987789,20.1828385638162,1.38556511338631e-90,3.3844251006452e-88,2.61206735175587e-86
77,392490,NA,2014.19649464473,1.85971727577675,0.0922100894028863,20.1682623649917,1.86062020752804e-90,4.4857861730585e-88,3.5074551532111e-86
78,125144,SNHG29,7353.94576490845,1.56218730799983,0.0774819956390756,20.1619394946508,2.11429881328492e-90,5.03203117561812e-88,3.98545326304208e-86
79,5054,SERPINE1,7319.50063989124,1.71978160017831,0.0854092089744696,20.1357865366999,3.58574859118054e-90,8.42605529704753e-88,6.75877751951619e-86
80,994,CDC25B,2392.87861376,-1.56223904378608,0.0776304349126537,-20.1240537367057,4.54363613843906e-90,1.05435076592478e-87,8.56384539372994e-86
81,968,CD68,250.062618914171,4.09776408167059,0.203884150249055,20.0984925834841,7.60693031830417e-90,1.74339573369134e-87,1.43367815709079e-85
82,202020,TAPT1-AS1,1066.90413760654,2.01177057343339,0.100259045830212,20.0657263070338,1.47125267121755e-89,3.33077251079057e-87,2.7727227841766e-85
83,57179,KIAA1191,1738.41087173622,1.67672084678313,0.0838935643504264,19.9862869072937,7.24937614178209e-89,1.62141468308485e-86,1.36614493391884e-84
84,8175,SF3A2,1828.86710091644,-1.86401061052343,0.0933000303371266,-19.9786710013715,8.4441959811837e-89,1.8661673118416e-86,1.59122429069426e-84
85,4946,OAZ1,6009.30242925126,1.78082684288808,0.089228903817037,19.9579594358758,1.27826207032054e-88,2.79172436158005e-86,2.40862921910499e-84
86,4735,SEPTIN2,7869.27103072234,1.32374480511692,0.0663402187753592,19.9538806104842,1.38694222942911e-88,2.99385994733977e-86,2.61327654869033e-84
87,10094,ARPC3,1365.86277076261,1.72012187944777,0.0866388285334792,19.8539374154058,1.01895023606367e-87,2.17422898646965e-85,1.91980413976756e-83
88,23210,JMJD6,1080.58299042821,1.84860745498922,0.0933537479689798,19.8021771509751,2.85101693056175e-87,6.01434980669867e-85,5.37131589717833e-83
89,23615,PYY2,170.725492686835,4.85903296711401,0.245513871304674,19.7912767262104,3.53960919361954e-87,7.38306798543294e-85,6.66826975985985e-83
90,1915,EEF1A1,4609.30142123416,1.48105492235252,0.0749094382154206,19.771272587753,5.26315071892297e-87,1.08561255495651e-84,9.91472332430708e-83
91,4882,NPR2,327.238619004339,2.79889578619444,0.142216353546075,19.6805480973583,3.16560387430953e-86,6.45783190359143e-84,5.96304801803686e-82
92,100287177,EML2-AS1,172.912698703663,5.42099157363347,0.275800136684724,19.6555072045898,5.18679247053134e-86,1.04660451546678e-83,9.76984229749282e-82
93,79841,AGBL2,190.670947117817,4.62372539196082,0.236293448425242,19.5677257358393,2.91398019979355e-85,5.81668047623306e-83,5.48848170631115e-81
94,2876,GPX1,3255.98317050026,1.68746094114189,0.0864157107019309,19.5272471572022,6.44197044467304e-85,1.27222063122245e-82,1.21328071354972e-80
95,85001,MGC16275,190.889712793192,3.77126195641777,0.194959744711239,19.34379818769,2.29901431834781e-83,4.49251597955882e-81,4.32973366574444e-79
96,3337,DNAJB1,895.440516453097,1.74478659333156,0.0910755535266104,19.1575733088657,8.36849645512135e-82,1.61825800200909e-79,1.57595525242845e-77
97,3159,HMGA1,26516.2508800279,1.49933758023038,0.078300786822377,19.1484356808774,9.97380127751394e-82,1.90880048366772e-79,1.87816651856865e-77
98,6191,RPS4X,20580.1526633701,1.42891734358413,0.0746693295220714,19.1366033782553,1.25168614913495e-81,2.37105119107563e-79,2.35692501882111e-77
99,1351,COX8A,2842.48050716618,1.80513317174313,0.0943788741985548,19.126453743721,1.52074028106241e-81,2.85161844218611e-79,2.8634018752124e-77
100,89782,LMLN,286.327426629731,3.35134943079963,0.17555681953479,19.0898276676486,3.06779750529945e-81,5.6950592888379e-79,5.7760491429778e-77
101,100216546,LINC01004,783.3320012841,2.33998740693688,0.122678294836379,19.0741761617882,4.13893174896986e-81,7.60743851365113e-79,7.79236680378555e-77
102,9314,KLF4,208.230639849886,3.53408040919464,0.185293487464777,19.0728797733188,4.24283646825385e-81,7.721962372222e-79,7.98756393513469e-77
103,81029,WNT5B,478.387603576957,-2.71634648429179,0.142530586380393,-19.0579899604304,5.64003080446528e-81,1.01651972673877e-78,1.06173579894059e-76
104,6155,RPL27,7507.97757849074,1.61015065215102,0.0846010393874872,19.032279790042,9.21549039893324e-81,1.64496503620958e-78,1.73472391269519e-76
105,57291,DANCR,889.191370367878,2.05067419855971,0.107941033150041,18.9980968192997,1.7684159424441e-80,3.12655938624116e-78,3.32868932846252e-76
106,285051,STPG4,201.42996769603,6.841483396261,0.3622862101855,18.8841948821568,1.53866126148851e-79,2.69468940172383e-77,2.89606822637367e-75
107,100128731,OST4,644.341644415012,1.99290828986672,0.105711998906868,18.8522429854199,2.81643570934642e-79,4.88638434657075e-77,5.30081364856091e-75
108,8407,TAGLN2,14160.8643641351,1.46630314465998,0.0778027649984727,18.8464143233053,3.14447211682695e-79,5.40499818303477e-77,5.91789652386832e-75
109,2597,GAPDH,77989.0319251456,1.41998569492793,0.0754184045466336,18.8281057318033,4.44373953276987e-79,7.56821841159081e-77,8.36267342671962e-75
110,6205,RPS11,13520.1678361525,1.68132267428434,0.0895505056446394,18.7751332299148,1.20644946011533e-78,2.03604797978008e-76,2.27029659404502e-74
111,6451,SH3BGRL,1454.03363379782,1.6990203611394,0.0906583739740588,18.7409092691819,2.29669186947548e-78,3.84106196981466e-76,4.32168509079201e-74
112,6167,RPL37,10081.7236759624,1.62764701062962,0.0871195488705441,18.6829136712844,6.81932302778444e-78,1.13030279185527e-75,1.28312382090792e-73
113,3094,HINT1,2232.11162291979,1.47746982297995,0.079272931999905,18.6377592667031,1.58752722019219e-77,2.60804029342016e-75,2.9869324647916e-73
114,2130,EWSR1,3597.36782022734,1.22136556108544,0.0658442084999695,18.5493240622067,8.25839594651978e-77,1.34481458202801e-74,1.55373461337823e-72
115,6665,SOX15,161.361959790394,4.62010011261545,0.249200222011591,18.5397110617363,9.87507822104885e-77,1.59409523561349e-74,1.85779846572592e-72
